"id","name","jam1","jam2","jam3","jam4","jam5","jam6","jam7","jam8","jam9","jam10","jam11"
"__export__.lembur_koefisien_1_860447d9","Workday","1.5","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0"
"__export__.lembur_koefisien_2_6b4e201b","Offday (5)","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","4.0","4.0"
"__export__.lembur_koefisien_3_4af56dcf","Holiday (5)","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","4.0","4.0"
"__export__.lembur_koefisien_4_e2671d62","Offday (6)","2.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","4.0","4.0","4.0"
"__export__.lembur_koefisien_5_a6dad292","Public Holiday (6)","2.0","2.0","2.0","2.0","2.0","3.0","4.0","4.0","4.0","4.0","4.0"
"__export__.lembur_koefisien_6_b63c9302","Public Holiday (6) in Short Day","2.0","2.0","2.0","2.0","2.0","3.0","4.0","4.0","4.0","4.0","4.0"
